Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
creepy schools,3.000000,0.000080,0.000758,0.965618
creepy arrests,3.000000,0.000080,0.000758,2.520248
creepy country,12.000000,0.000321,0.002585,2.963934
creepy problem,3.000000,0.000080,0.000758,3.148857
creepy own,3.000000,0.000080,0.000758,2.925713
creepy panic,4.000000,0.000107,0.000980,2.625609
creepy killer,3.000000,0.000080,0.000758,2.071298
creepy threatening,3.000000,0.000080,0.000758,2.071298
creepy threats,12.000000,0.000321,0.002585,2.160245
creepy states,4.000000,0.000107,0.000980,2.081993
creepy epidemic,3.000000,0.000080,0.000758,3.148857
creepy sweeping,4.000000,0.000107,0.000980,3.570070
creepy nation,7.000000,0.000188,0.001609,3.303007
creepy hysteria,8.000000,0.000214,0.001811,2.532827
creepy craze,6.000000,0.000161,0.001404,2.951031
creepy halloween,3.000000,0.000080,0.000758,1.455537
creepy hoaxes,3.000000,0.000080,0.000758,2.395085
creepy popping,5.000000,0.000134,0.001195,4.235046
creepy phenomenon,5.000000,0.000134,0.001195,2.876923
