Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown became,4.000000,0.000102,0.000940,1.598377
clown machete,7.000000,0.000179,0.001545,1.916831
clown greensboro,5.000000,0.000128,0.001147,1.223684
clown curly,5.000000,0.000128,0.001147,2.273506
clown yellow,7.000000,0.000179,0.001545,2.476447
clown leaving,4.000000,0.000102,0.000940,1.799048
clown grabbed,4.000000,0.000102,0.000940,1.916831
clown chase,3.000000,0.000077,0.000727,1.762680
clown talking,3.000000,0.000077,0.000727,1.310695
clown heightened,3.000000,0.000077,0.000727,1.223684
clown tensions,3.000000,0.000077,0.000727,1.629149
clown acting,7.000000,0.000179,0.001545,2.070982
clown pennywise,9.000000,0.000230,0.001929,1.549106
clown disappeared,4.000000,0.000102,0.000940,2.609978
clown sept,4.000000,0.000102,0.000940,0.860778
clown driving,12.000000,0.000307,0.002484,1.876009
clown various,3.000000,0.000077,0.000727,1.310695
clown associated,8.000000,0.000205,0.001739,2.124470
clown headlines,4.000000,0.000102,0.000940,1.598377
clown lately,3.000000,0.000077,0.000727,2.099153
clown afraid,4.000000,0.000102,0.000940,0.258603
clown window,4.000000,0.000102,0.000940,1.693688
clown although,3.000000,0.000077,0.000727,1.069533
clown given,4.000000,0.000102,0.000940,1.598377
clown entertainers,4.000000,0.000102,0.000940,2.050363
clown avoid,3.000000,0.000077,0.000727,1.223684
clown strangers,3.000000,0.000077,0.000727,1.629149
clown tell,4.000000,0.000102,0.000940,1.357215
clown fun,5.000000,0.000128,0.001147,0.608498
clown actual,4.000000,0.000102,0.000940,1.511366
clown certainly,3.000000,0.000077,0.000727,1.511366
clown professional,4.000000,0.000102,0.000940,0.385355
clown frightening,3.000000,0.000077,0.000727,0.875377
clown beginning,6.000000,0.000154,0.001348,2.099153
clown threat,18.000000,0.000461,0.003539,1.023013
clown georgia,3.000000,0.000077,0.000727,0.242855
clown abduct,3.000000,0.000077,0.000727,1.406006
clown threatening,12.000000,0.000307,0.002484,1.244737
clown van,16.000000,0.000409,0.003194,2.247073
